"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Max Scherzer",12300,"Was@Atl 04:10PM ET",0,"XYZ"
"SP","Stephen Strasburg",10600,"Was@Atl 04:10PM ET",0,"Was"
"SP","David Price",9800,"Bos@Cle 04:10PM ET",0,"Bos"
"SP","Madison Bumgarner",9200,"SF@Mil 02:10PM ET",0,"SF"
"SP","Gio González",9100,"Was@Atl 04:10PM ET",0,"Was"
"SP","Dallas Keuchel",9000,"Hou@NYY 01:05PM ET",0,"Hou"
"SP","Yu Darvish",8900,"Sea@Tex 04:05PM ET",0,"Tex"
"SP","Raisel Iglesias",8900,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Félix Hernández",8800,"Sea@Tex 04:05PM ET",0,"Sea"
"SP","Masahiro Tanaka",8800,"Hou@NYY 01:05PM ET",0,"NYY"
"SP","Corey Kluber",8600,"Bos@Cle 04:10PM ET",0,"Cle"
"SP","Anthony DeSclafani",8600,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Carlos Carrasco",8500,"Bos@Cle 04:10PM ET",0,"Cle"
"SP","Danny Salazar",8500,"Bos@Cle 04:10PM ET",0,"Cle"
"SP","Cole Hamels",8400,"Sea@Tex 04:05PM ET",0,"Tex"
"SP","Johnny Cueto",8400,"SF@Mil 02:10PM ET",0,"SF"
"SP","Aaron Nola",8300,"Phi@Cin 04:10PM ET",0,"Phi"
"SP","Lance McCullers",8300,"Hou@NYY 01:05PM ET",0,"Hou"
"SP","Homer Bailey",8200,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Julio Teherán",8100,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Joe Ross",8000,"Was@Atl 04:10PM ET",0,"Was"
"SP","John Lamb",7900,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Jerad Eickhoff",7900,"Phi@Cin 04:10PM ET",0,"Phi"
"SP","Clay Buchholz",7800,"Bos@Cle 04:10PM ET",0,"Bos"
"SP","Jeff Samardzija",7800,"SF@Mil 02:10PM ET",0,"SF"
"SP","Michael Pineda",7800,"Hou@NYY 01:05PM ET",0,"NYY"
"SP","Robert Stephenson",7800,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Collin McHugh",7700,"Hou@NYY 01:05PM ET",0,"Hou"
"SP","Mike Fiers",7600,"Hou@NYY 01:05PM ET",0,"Hou"
"SP","Charlie Morton",7400,"Phi@Cin 04:10PM ET",0,"Phi"
"SP","Bud Norris",7400,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Jeremy Hellickson",7300,"Phi@Cin 04:10PM ET",0,"Phi"
"SP","Rick Porcello",7300,"Bos@Cle 04:10PM ET",0,"Bos"
"RP","Tanner Roark",7300,"Was@Atl 04:10PM ET",0,"Was"
"SP","Hisashi Iwakuma",7300,"Sea@Tex 04:05PM ET",0,"Sea"
"SP","Luis Severino",7300,"Hou@NYY 01:05PM ET",0,"NYY"
"SP","Vince Velásquez",7200,"Phi@Cin 04:10PM ET",0,"Phi"
"SP","Eduardo Rodríguez",7200,"Bos@Cle 04:10PM ET",0,"Bos"
"SP","Derek Holland",7000,"Sea@Tex 04:05PM ET",0,"Tex"
"SP","Taijuan Walker",7000,"Sea@Tex 04:05PM ET",0,"Sea"
"SP","CC Sabathia",6900,"Hou@NYY 01:05PM ET",0,"NYY"
"SP","Nathan Eovaldi",6900,"Hou@NYY 01:05PM ET",0,"NYY"
"SP","Alfredo Simón",6800,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Matt Wisler",6800,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Jake Peavy",6700,"SF@Mil 02:10PM ET",0,"SF"
"SP","Ervin Santana",6700,"Min@Bal 03:05PM ET",0,"Min"
"RP","Kevin Gausman",6700,"Min@Bal 03:05PM ET",0,"Bal"
"SP","Trevor Bauer",6700,"Bos@Cle 04:10PM ET",0,"Cle"
"SP","Bronson Arroyo",6600,"Was@Atl 04:10PM ET",0,"Was"
"SP","Ubaldo Jiménez",6600,"Min@Bal 03:05PM ET",0,"Bal"
"SP","Nathan Karns",6600,"Sea@Tex 04:05PM ET",0,"Sea"
"SP","Josh Tomlin",6600,"Bos@Cle 04:10PM ET",0,"Cle"
"SP","Wade Miley",6600,"Sea@Tex 04:05PM ET",0,"Sea"
"SP","Manny Bañuelos",6600,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Jon Moscot",6600,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Adam Morgan",6500,"Phi@Cin 04:10PM ET",0,"Phi"
"SP","Colby Lewis",6400,"Sea@Tex 04:05PM ET",0,"Tex"
"SP","Scott Feldman",6400,"Hou@NYY 01:05PM ET",0,"Hou"
"SP","James Paxton",6400,"Sea@Tex 04:05PM ET",0,"Sea"
"SP","Michael Lorenzen",6400,"Phi@Cin 04:10PM ET",0,"Cin"
"RP","Brandon Finnegan",6400,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Tyler Duffey",6400,"Min@Bal 03:05PM ET",0,"Min"
"SP","Phil Hughes",6300,"Min@Bal 03:05PM ET",0,"Min"
"SP","Jhoulys Chacin",6300,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Williams Pérez",6300,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Jimmy Nelson",6300,"SF@Mil 02:10PM ET",0,"Mil"
"SP","Matt Cain",6200,"SF@Mil 02:10PM ET",0,"SF"
"SP","Martín Pérez",6200,"Sea@Tex 04:05PM ET",0,"Tex"
"SP","Kyle Gibson",6200,"Min@Bal 03:05PM ET",0,"Min"
"SP","Mike Foltynewicz",6200,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Chris Tillman",6100,"Min@Bal 03:05PM ET",0,"Bal"
"SP","Tommy Milone",6100,"Min@Bal 03:05PM ET",0,"Min"
"SP","Ricky Nolasco",6000,"Min@Bal 03:05PM ET",0,"Min"
"SP","Yovani Gallardo",6000,"Min@Bal 03:05PM ET",0,"Bal"
"SP","Doug Fister",6000,"Hou@NYY 01:05PM ET",0,"Hou"
"SP","Miguel González",5900,"Min@Bal 03:05PM ET",0,"Bal"
"SP","Danny Hultzen",5900,"Sea@Tex 04:05PM ET",0,"Sea"
"SP","Iván Nova",5800,"Hou@NYY 01:05PM ET",0,"NYY"
"SP","Taylor Jungmann",5800,"SF@Mil 02:10PM ET",0,"Mil"
"SP","Chase Anderson",5800,"SF@Mil 02:10PM ET",0,"Mil"
"SP","A.J. Griffin",5800,"Sea@Tex 04:05PM ET",0,"Tex"
"SP","Tyrell Jenkins",5800,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Ryan Weber",5700,"Was@Atl 04:10PM ET",0,"Atl"
"SP","Brett Oberholtzer",5600,"Phi@Cin 04:10PM ET",0,"Phi"
"SP","Asher Wojciechowski",5600,"Hou@NYY 01:05PM ET",0,"Hou"
"RP","A.J. Cole",5600,"Was@Atl 04:10PM ET",0,"Was"
"SP","TJ House",5500,"Bos@Cle 04:10PM ET",0,"Cle"
"SP","Jeremy Guthrie",5400,"Sea@Tex 04:05PM ET",0,"Tex"
"SP","Wily Peralta",5400,"SF@Mil 02:10PM ET",0,"Mil"
"RP","Taylor Jordan",5400,"Was@Atl 04:10PM ET",0,"Was"
